[Point];[Position];[Force];[Time]
564;46.15;1033.386;T#0ms
565;46.16;1034.4669999999999;T#0ms
566;46.17;1035.694;T#0ms
567;46.18;1036.697;T#0ms
568;46.19;1036.9360000000001;T#0ms
569;46.2;1036.452;T#0ms
570;46.21;1036.263;T#0ms
571;46.22;1035.983;T#0ms
572;46.23;1036.562;T#0ms
573;46.24;1037.629;T#0ms
574;46.25;1038.2160000000001;T#0ms
575;46.26;1039.117;T#0ms
576;46.27;1039.23;T#0ms
577;46.28;1038.891;T#0ms
578;46.29;1038.483;T#0ms
579;46.3;1038.4160000000002;T#0ms
580;46.31;1039.024;T#0ms
581;46.32;1039.568;T#0ms
582;46.33;1040.391;T#0ms
583;46.34;1040.1960000000001;T#0ms
584;46.35;1040.136;T#0ms
585;46.36;1040.702;T#0ms
586;46.37;1041.0739999999998;T#0ms
587;46.38;1041.958;T#0ms
588;46.39;1043.836;T#0ms
589;46.4;1043.5430000000001;T#0ms
590;46.41;1044.6019999999999;T#0ms
591;46.42;1044.299;T#0ms
592;46.43;1043.512;T#0ms
593;46.44;1044.252;T#0ms
594;46.45;1044.646;T#0ms
595;46.46;1046.644;T#0ms
596;46.47;1047.643;T#0ms
597;46.48;1048.536;T#0ms
598;46.49;1047.765;T#0ms
599;46.5;1045.921;T#0ms
600;46.51;1044.933;T#0ms
601;46.52;1043.787;T#0ms
602;46.53;1043.66;T#0ms
603;46.54;1043.863;T#0ms
604;46.55;1044.927;T#0ms
605;46.56;1045.326;T#0ms
606;46.57;1046.872;T#0ms
607;46.58;1048.84;T#0ms
608;46.59;1048.695;T#0ms
609;46.6;1049.103;T#0ms
610;46.61;1048.597;T#0ms
611;46.62;1048.0539999999999;T#0ms
612;46.63;1048.0539999999999;T#0ms
613;46.64;1048.634;T#0ms
614;46.65;1047.6889999999999;T#0ms
615;46.66;1049.365;T#0ms
616;46.67;1049.335;T#0ms
617;46.68;1050.1989999999998;T#0ms
618;46.69;1051.336;T#0ms
619;46.7;1052.65;T#0ms
620;46.71;1052.376;T#0ms
621;46.72;1051.9260000000002;T#0ms
622;46.73;1050.9560000000001;T#0ms
623;46.74;1051.146;T#0ms
624;46.75;1051.31;T#0ms
625;46.76;1052.787;T#0ms
626;46.77;1053.115;T#0ms
627;46.78;1053.194;T#0ms
628;46.79;1053.0230000000001;T#0ms
629;46.8;1052.743;T#0ms
630;46.81;1052.604;T#0ms
631;46.82;1054.413;T#0ms
632;46.83;1054.0819999999999;T#0ms
633;46.84;1054.471;T#0ms
634;46.85;1054.205;T#0ms
635;46.86;1053.81;T#0ms
636;46.87;1053.115;T#0ms
637;46.88;1053.737;T#0ms
638;46.89;1055.012;T#0ms
639;46.9;1055.889;T#0ms
640;46.91;1057.3139999999999;T#0ms
641;46.92;1058.364;T#0ms
642;46.93;1059.248;T#0ms
643;46.94;1059.867;T#0ms
644;46.95;1059.565;T#0ms
645;46.96;1058.535;T#0ms
646;46.97;1057.192;T#0ms
647;46.98;1056.913;T#0ms
648;46.99;1056.3;T#0ms
649;47.0;1056.9560000000001;T#0ms
650;47.01;1057.482;T#0ms
651;47.02;1057.9189999999999;T#0ms
652;47.03;1057.517;T#0ms
653;47.04;1057.224;T#0ms
654;47.05;1057.649;T#0ms
655;47.06;1057.375;T#0ms
656;47.07;1058.175;T#0ms
657;47.08;1058.137;T#0ms
658;47.09;1059.675;T#0ms
659;47.1;1060.029;T#0ms
660;47.11;1061.513;T#0ms
661;47.12;1062.973;T#0ms
662;47.13;1062.833;T#0ms
663;47.14;1063.997;T#0ms
664;47.15;1062.984;T#0ms
665;47.16;1063.187;T#0ms
